base_accession,DBD
Q8NFU7,CxxC
Q8NHM5,CxxC
Q8NI51,C2H2 ZF
Q8TBB0,THAP finger
Q8TBC5,C2H2 ZF
Q8TC21,C2H2 ZF
Q8TE85,Grainyhead
Q8TF68,C2H2 ZF
Q8WTV1,THAP finger
Q8WV37,C2H2 ZF
Q8WY36,HMG/Sox
Q8WYA1,bHLH
Q8WYP5,AT hook
Q92570,Nuclear receptor
Q92731,Nuclear receptor
Q92766,C2H2 ZF
Q92782,C2H2 ZF
Q92784,C2H2 ZF
Q92985,IRF
Q92988,Homeodomain
Q96AV8,E2F
Q96BD5,AT hook
Q96BT3,Unknown
Q96DT7,C2H2 ZF
Q96E29,mTERF
Q96F45,C2H2 ZF
Q96GC6,C2H2 ZF
Q96GD3,Unknown
Q96HQ0,C2H2 ZF
Q96HZ4,bHLH
Q96JL9,C2H2 ZF
Q96JM2,C2H2 ZF
Q96JN0,Pipsqueak
Q96LI6,HSF
Q96LX7,C2H2 ZF
Q96ME7,C2H2 ZF; BED ZF
Q96N77,C2H2 ZF
Q96N95,C2H2 ZF
Q96NX9,Unknown
Q96NZ1,Forkhead
Q96PM9,C2H2 ZF
Q96PN7,C2H2 ZF; Myb/SANT
Q96PQ6,C2H2 ZF
Q96RE9,C2H2 ZF
Q96RI1,Nuclear receptor
Q96SK3,C2H2 ZF
Q96SR6,C2H2 ZF
Q96SZ4,C2H2 ZF
Q96T68,MBD
Q99081,bHLH
Q99593,T-box
Q99612,C2H2 ZF
Q99687,Homeodomain
Q99697,Homeodomain
Q99801,Homeodomain
Q9BSG1,C2H2 ZF
Q9BU19,C2H2 ZF
Q9BV97,C2H2 ZF
Q9BW11,bHLH
Q9BXA9,C2H2 ZF
Q9BYM8,Unknown
Q9BZB8,Unknown
Q9BZS1,Forkhead
Q9C0G0,C2H2 ZF
Q9GZU2,C2H2 ZF
Q9H165,C2H2 ZF
Q9H334,Forkhead
Q9H3D4,p53
Q9H582,C2H2 ZF
Q9H7B4,Unknown
Q9H930,SAND
Q9HAP2,bHLH
Q9HAZ2,C2H2 ZF
Q9HB58,SAND
Q9HBE1,C2H2 ZF; AT hook
Q9NP71,bHLH
Q9NPC7,C2H2 ZF
Q9NQ69,Homeodomain
Q9NQB0,HMG/Sox
Q9NQV6,C2H2 ZF
Q9NQX0,C2H2 ZF
Q9NQX1,C2H2 ZF
Q9NR83,C2H2 ZF
Q9NTW7,C2H2 ZF
Q9NU63,C2H2 ZF
Q9NX45,bHLH
Q9NX65,C2H2 ZF
Q9NXT0,C2H2 ZF
Q9NZC4,Ets
Q9NZI5,Grainyhead
Q9NZR4,Homeodomain
Q9P0W2,HMG/Sox
Q9P243,C2H2 ZF
Q9UH92,bHLH
Q9UHF7,GATA
Q9UHL9,GTF2I-like
Q9UI36,Unknown
Q9UIF8,MBD
Q9UIF9,MBD; AT hook
Q9UIS9,MBD; CxxC ZF
Q9UJU2,HMG/Sox
Q9UJW8,C2H2 ZF
Q9UKI9,Homeodomain; POU
Q9UKS7,C2H2 ZF
Q9UKT9,C2H2 ZF
Q9UKW6,Ets
Q9UL40,C2H2 ZF
Q9UL49,bHLH
Q9UL68,C2H2 ZF
Q9UPM6,Homeodomain
Q9Y222,Myb/SANT
Q9Y2K7,CxxC
Q9Y2N7,bHLH
Q9Y2Q1,C2H2 ZF
Q9Y2W7,Unknown
Q9Y462,C2H2 ZF
Q9Y468,C2H2 ZF
Q9Y483,Unknown
Q9Y4E5,C2H2 ZF
Q9Y4X4,C2H2 ZF
Q9Y5R5,DM
Q9Y5R6,DM
Q9Y603,Ets
Q9Y6Q3,C2H2 ZF
Q9Y6Q9,bHLH
Q9Y6Y1,CG-1
