upkb_accession,gene_age,age_bin
C9JH25,168,100-500
E5RJM6,12,<100
E9PB15,3,<100
G9CGD6,3,<100
H3BSY2,680,500-1000
M0R2J8,544,500-1000
O00124,454,100-500
O00139,645,500-1000
O00141,454,100-500
O00142,987,500-1000
O00148,4300,>1000
O00154,987,500-1000
O00159,645,500-1000
O00165,454,100-500
O00167,950,500-1000
O00182,810,500-1000
O00206,382,100-500
O00213,645,500-1000
O00222,544,500-1000
O00233,1714,>1000
O00255,886,500-1000
O00291,1488,>1000
O00305,950,500-1000
O00308,424,100-500
O00327,680,500-1000
O00330,886,500-1000
O00339,645,500-1000
O00408,987,500-1000
O00410,645,500-1000
O00429,810,500-1000
O00444,987,500-1000
O00451,645,500-1000
O00453,55,<100
O00463,987,500-1000
O00468,645,500-1000
O00469,645,500-1000
O00481,36,<100
O00482,544,500-1000
O00499,1488,>1000
O00506,1064,>1000
O00522,680,500-1000
O00534,382,100-500
O00555,645,500-1000
O00560,645,500-1000
O00624,132,100-500
O00712,987,500-1000
O00743,4300,>1000
O00748,1488,>1000
O00762,1488,>1000
O00763,950,500-1000
O00764,1714,>1000
O14490,645,500-1000
O14497,987,500-1000
O14511,544,500-1000
O14513,645,500-1000
O14521,1292,>1000
O14525,645,500-1000
O14526,1488,>1000
O14559,382,100-500
O14576,544,500-1000
O14578,645,500-1000
O14579,1714,>1000
O14593,544,500-1000
O14607,8,<100
O14617,1714,>1000
O14628,168,100-500
O14639,544,500-1000
O14647,1488,>1000
O14653,950,500-1000
O14662,4300,>1000
O14717,1488,>1000
O14727,645,500-1000
O14733,1488,>1000
O14735,4300,>1000
O14744,1714,>1000
O14746,680,500-1000
O14757,645,500-1000
O14763,55,<100
O14770,950,500-1000
O14772,680,500-1000
O14775,1292,>1000
O14786,544,500-1000
O14788,454,100-500
O14791,12,<100
O14818,544,500-1000
O14829,645,500-1000
O14836,332,100-500
O14874,645,500-1000
O14893,950,500-1000
O14920,810,500-1000
O14924,645,500-1000
O14931,168,100-500
O14936,680,500-1000
O14939,1488,>1000
O14948,987,500-1000
O14966,645,500-1000
O14974,645,500-1000
O14979,544,500-1000
O14983,4300,>1000
O14986,544,500-1000
O15013,886,500-1000
O15021,950,500-1000
O15027,645,500-1000
O15034,950,500-1000
O15042,1292,>1000
O15056,4300,>1000
O15061,544,500-1000
O15068,454,100-500
O15075,544,500-1000
O15084,987,500-1000
O15091,987,500-1000
O15105,987,500-1000
O15117,544,500-1000
O15119,987,500-1000
O15123,645,500-1000
O15146,645,500-1000
O15151,950,500-1000
O15165,645,500-1000
O15229,1488,>1000
O15231,544,500-1000
O15244,1488,>1000
O15245,244,100-500
O15259,950,500-1000
O15260,950,500-1000
O15265,950,500-1000
O15294,1292,>1000
O15296,987,500-1000
O15315,645,500-1000
O15350,987,500-1000
O15360,544,500-1000
O15371,1714,>1000
O15374,950,500-1000
O15381,4300,>1000
O15392,680,500-1000
O15409,645,500-1000
O15417,645,500-1000
O15438,382,100-500
O15439,1064,>1000
O15440,454,100-500
O15444,55,<100
O15488,987,500-1000
O15504,680,500-1000
O15519,454,100-500
O15523,8,<100
O15527,1714,>1000
O15530,1714,>1000
O15533,3,<100
O15539,544,500-1000
O15553,382,100-500
O43147,645,500-1000
O43149,645,500-1000
O43151,544,500-1000
O43157,987,500-1000
O43166,645,500-1000
O43182,645,500-1000
O43184,645,500-1000
O43196,1714,>1000
O43236,244,100-500
O43251,454,100-500
O43272,645,500-1000
O43281,987,500-1000
O43283,645,500-1000
O43295,645,500-1000
O43299,544,500-1000
O43307,987,500-1000
O43312,886,500-1000
O43316,382,100-500
O43318,645,500-1000
O43379,4300,>1000
O43390,4300,>1000
O43399,810,500-1000
O43414,645,500-1000
O43426,4300,>1000
O43432,645,500-1000
O43435,382,100-500
O43439,454,100-500
O43464,645,500-1000
O43474,950,500-1000
O43490,987,500-1000
O43491,810,500-1000
O43493,454,100-500
O43497,544,500-1000
O43516,680,500-1000
O43521,382,100-500
O43526,544,500-1000
O43541,987,500-1000
O43555,86,<100
O43556,645,500-1000
O43561,168,100-500
O43566,544,500-1000
O43581,987,500-1000
O43663,645,500-1000
O43665,1064,>1000
O43670,1488,>1000
O43679,950,500-1000
O43683,1488,>1000
O43688,987,500-1000
O43699,544,500-1000
O43707,382,100-500
O43708,645,500-1000
O43709,4300,>1000
O43734,244,100-500
O43759,987,500-1000
O43766,1292,>1000
O43768,680,500-1000
O43820,886,500-1000
O43822,987,500-1000
O43837,4300,>1000
O43852,987,500-1000
O43914,244,100-500
O43918,544,500-1000
O43929,4300,>1000
O60229,544,500-1000
O60237,424,100-500
O60241,544,500-1000
O60256,454,100-500
O60259,168,100-500
O60260,544,500-1000
O60268,950,500-1000
O60271,987,500-1000
O60291,1064,>1000
O60293,987,500-1000
O60308,987,500-1000
O60313,987,500-1000
O60331,645,500-1000
O60333,544,500-1000
O60336,424,100-500
O60337,1488,>1000
O60341,1488,>1000
O60343,645,500-1000
O60381,645,500-1000
O60423,4300,>1000
O60443,544,500-1000
O60449,680,500-1000
O60462,645,500-1000
O60477,544,500-1000
O60493,1292,>1000
O60502,987,500-1000
O60506,4300,>1000
O60524,4300,>1000
O60566,1488,>1000
O60610,1488,>1000
O60637,645,500-1000
O60641,1488,>1000
O60658,950,500-1000
O60663,680,500-1000
O60664,645,500-1000
O60667,332,100-500
O60671,1488,>1000
O60701,987,500-1000
O60716,987,500-1000
O60721,950,500-1000
O60729,424,100-500
O60733,680,500-1000
O60784,1292,>1000
O60828,950,500-1000
O60840,645,500-1000
O60858,544,500-1000
O60861,680,500-1000
O60869,1292,>1000
O60879,1064,>1000
O60880,4300,>1000
O60885,70,<100
O60888,168,100-500
O60902,645,500-1000
O60909,886,500-1000
O60936,244,100-500
O60941,18,<100
O60942,4300,>1000
O75022,168,100-500
O75023,168,100-500
O75027,1488,>1000
O75030,987,500-1000
O75037,4300,>1000
O75038,1714,>1000
O75052,680,500-1000
O75061,544,500-1000
O75069,810,500-1000
O75077,1292,>1000
O75081,382,100-500
O75094,544,500-1000
O75112,680,500-1000
O75121,645,500-1000
O75122,950,500-1000
O75128,645,500-1000
O75129,645,500-1000
O75140,1714,>1000
O75143,987,500-1000
O75144,454,100-500
O75147,886,500-1000
O75150,1488,>1000
O75154,987,500-1000
O75167,987,500-1000
O75170,454,100-500
O75177,680,500-1000
O75179,886,500-1000
O75182,1488,>1000
O75185,4300,>1000
O75190,645,500-1000
O75223,645,500-1000
O75290,55,<100
O75298,454,100-500
O75309,168,100-500
O75319,645,500-1000
O75330,680,500-1000
O75334,645,500-1000
O75335,987,500-1000
O75340,1488,>1000
O75344,1714,>1000
O75354,950,500-1000
O75365,645,500-1000
O75367,544,500-1000
O75369,645,500-1000
O75376,1488,>1000
O75382,454,100-500
O75386,645,500-1000
O75398,680,500-1000
O75400,1488,>1000
O75410,544,500-1000
O75414,645,500-1000
O75419,1488,>1000
O75425,132,100-500
O75426,454,100-500
O75445,680,500-1000
O75461,1064,>1000
O75469,810,500-1000
O75473,544,500-1000
O75475,645,500-1000
O75494,544,500-1000
O75530,987,500-1000
O75534,987,500-1000
O75553,987,500-1000
O75569,987,500-1000
O75575,1488,>1000
O75578,987,500-1000
O75582,645,500-1000
O75586,1488,>1000
O75602,987,500-1000
O75604,424,100-500
O75626,810,500-1000
O75648,4300,>1000
O75665,544,500-1000
O75674,424,100-500
O75678,86,<100
O75688,4300,>1000
O75689,645,500-1000
O75771,810,500-1000
O75815,886,500-1000
O75820,168,100-500
O75822,1488,>1000
O75838,168,100-500
O75840,950,500-1000
O75865,1488,>1000
O75882,645,500-1000
O75888,244,100-500
O75891,4300,>1000
O75900,544,500-1000
O75908,645,500-1000
O75909,645,500-1000
O75914,1488,>1000
O75916,645,500-1000
O75923,987,500-1000
O75925,1488,>1000
O75928,1488,>1000
O75935,680,500-1000
O75943,1488,>1000
O75952,332,100-500
O75953,680,500-1000
O75962,645,500-1000
O75970,645,500-1000
O76036,168,100-500
O76054,382,100-500
O76064,645,500-1000
O76075,645,500-1000
O76081,454,100-500
O76082,1488,>1000
O76083,987,500-1000
O76090,680,500-1000
O94759,950,500-1000
O94762,645,500-1000
O94763,1064,>1000
O94779,454,100-500
O94788,4300,>1000
O94810,645,500-1000
O94812,987,500-1000
O94813,645,500-1000
O94818,645,500-1000
O94822,645,500-1000
O94823,4300,>1000
O94827,645,500-1000
O94842,1488,>1000
O94851,544,500-1000
O94856,645,500-1000
O94864,645,500-1000
O94868,987,500-1000
O94874,1064,>1000
O94875,645,500-1000
O94880,987,500-1000
O94887,1488,>1000
O94901,645,500-1000
O94905,987,500-1000
O94911,244,100-500
O94916,645,500-1000
O94921,645,500-1000
O94925,987,500-1000
O94929,645,500-1000
O94956,244,100-500
O94964,645,500-1000
O94966,645,500-1000
O94967,950,500-1000
O94972,645,500-1000
O94973,4300,>1000
O94979,4300,>1000
O94983,454,100-500
O94986,680,500-1000
O94988,987,500-1000
O95049,886,500-1000
O95069,950,500-1000
O95104,987,500-1000
O95150,680,500-1000
O95153,950,500-1000
O95155,1488,>1000
O95169,987,500-1000
O95171,544,500-1000
O95196,454,100-500
O95197,454,100-500
O95198,645,500-1000
O95202,1488,>1000
O95208,886,500-1000
O95236,18,<100
O95243,424,100-500
O95248,4300,>1000
O95251,680,500-1000
O95255,424,100-500
O95256,645,500-1000
O95258,382,100-500
O95263,680,500-1000
O95267,544,500-1000
O95273,645,500-1000
O95294,680,500-1000
O95297,680,500-1000
O95298,8,<100
O95302,4300,>1000
O95319,680,500-1000
O95352,4300,>1000
O95359,645,500-1000
O95379,645,500-1000
O95382,645,500-1000
O95388,680,500-1000
O95394,4300,>1000
O95398,544,500-1000
O95405,950,500-1000
O95425,886,500-1000
O95428,645,500-1000
O95453,950,500-1000
O95460,886,500-1000
O95466,1064,>1000
O95487,1714,>1000
O95490,645,500-1000
O95498,382,100-500
O95544,4300,>1000
O95551,987,500-1000
O95600,950,500-1000
O95628,987,500-1000
O95639,987,500-1000
O95644,645,500-1000
O95670,3,<100
O95671,4300,>1000
O95677,950,500-1000
O95684,645,500-1000
O95704,544,500-1000
O95718,680,500-1000
O95758,1064,>1000
O95760,132,100-500
O95780,36,<100
O95785,544,500-1000
O95789,987,500-1000
O95793,987,500-1000
O95803,987,500-1000
O95819,645,500-1000
O95831,1488,>1000
O95834,645,500-1000
O95861,1714,>1000
O95864,1292,>1000
O95866,168,100-500
O95876,987,500-1000
O95905,1488,>1000
O95922,987,500-1000
O95925,987,500-1000
O95936,987,500-1000
O95944,424,100-500
O95954,987,500-1000
O95965,680,500-1000
O95970,645,500-1000
O95971,132,100-500
O95985,987,500-1000
O95990,680,500-1000
O95996,544,500-1000
O95998,244,100-500
O96005,1714,>1000
O96013,645,500-1000
O96017,1488,>1000
O96028,950,500-1000
P00167,454,100-500
P00338,544,500-1000
P00367,4300,>1000
P00387,1292,>1000
P00390,1488,>1000
P00533,886,500-1000
P00750,544,500-1000
P00973,168,100-500
P01009,244,100-500
P01011,244,100-500
P01042,544,500-1000
P01100,680,500-1000
P01106,645,500-1000
P01130,645,500-1000
P01133,987,500-1000
P01135,544,500-1000
P01241,544,500-1000
P01242,544,500-1000
P01344,645,500-1000
P01732,332,100-500
P01854,382,100-500
P02458,645,500-1000
P02545,645,500-1000
P02686,544,500-1000
P02724,86,<100
P02751,680,500-1000
P02768,382,100-500
P02774,454,100-500
P03372,680,500-1000
P04035,4300,>1000
P04062,987,500-1000
P04150,950,500-1000
P04233,544,500-1000
P04278,454,100-500
P04424,950,500-1000
P04626,645,500-1000
P04629,454,100-500
P04637,987,500-1000
P04798,680,500-1000
P04818,1292,>1000
P04899,1488,>1000
P04920,987,500-1000
P04921,454,100-500
P05019,544,500-1000
P05023,4300,>1000
P05067,645,500-1000
P05089,950,500-1000
P05106,645,500-1000
P05155,454,100-500
P05164,244,100-500
P05165,1064,>1000
P05186,1488,>1000
P05549,544,500-1000
P05556,645,500-1000
P06133,78,<100
P06239,424,100-500
P06241,645,500-1000
P06396,1488,>1000
P06401,950,500-1000
P06681,3,<100
P06730,645,500-1000
P06748,55,<100
P06753,8,<100
P06756,987,500-1000
P07093,544,500-1000
P07098,132,100-500
P07101,810,500-1000
P07108,1292,>1000
P07202,987,500-1000
P07288,382,100-500
P07307,132,100-500
P07332,544,500-1000
P07492,544,500-1000
P07585,645,500-1000
P07602,544,500-1000
P07910,424,100-500
P07911,950,500-1000
P07951,950,500-1000
P07992,1714,>1000
P08047,645,500-1000
P08048,8,<100
P08151,544,500-1000
P08174,382,100-500
P08195,544,500-1000
P08235,950,500-1000
P08236,886,500-1000
P08237,1292,>1000
P08243,950,500-1000
P08253,950,500-1000
P08397,1488,>1000
P08514,987,500-1000
P08559,1714,>1000
P08575,645,500-1000
P08581,645,500-1000
P08621,1714,>1000
P08631,645,500-1000
P08651,987,500-1000
P08962,1488,>1000
P09038,680,500-1000
P09086,454,100-500
P09132,645,500-1000
P09455,950,500-1000
P09466,244,100-500
P09493,950,500-1000
P09496,645,500-1000
P09525,645,500-1000
P09603,332,100-500
P09622,4300,>1000
P09651,454,100-500
P09912,244,100-500
P09917,645,500-1000
P09919,454,100-500
P09936,544,500-1000
P09960,1488,>1000
P0C024,645,500-1000
P0C7I6,244,100-500
P0C7W0,55,<100
P0C869,645,500-1000
P0CAP1,544,500-1000
P0CAP2,8,<100
P0DI81,78,<100
P0DJD3,36,<100
P0DML3,544,500-1000
P0DMM9,70,<100
P0DPB3,18,<100
P0DPD6,18,<100
P0DTE4,544,500-1000
P0DTL6,950,500-1000
P0DX53,18,<100
P10070,645,500-1000
P10155,886,500-1000
P10242,950,500-1000
P10275,950,500-1000
P10276,810,500-1000
P10451,332,100-500
P10636,645,500-1000
P10721,645,500-1000
P10747,544,500-1000
P10826,810,500-1000
P10827,454,100-500
P10909,544,500-1000
P10911,645,500-1000
P10912,645,500-1000
P10966,454,100-500
P11049,544,500-1000
P11137,645,500-1000
P11171,987,500-1000
P11172,1714,>1000
P11177,1714,>1000
P11234,645,500-1000
P11277,645,500-1000
P11308,544,500-1000
P11362,886,500-1000
P11388,645,500-1000
P11413,4300,>1000
P11464,168,100-500
P11532,645,500-1000
P12081,4300,>1000
P12107,645,500-1000
P12110,645,500-1000
P12111,645,500-1000
P12272,544,500-1000
P12524,454,100-500
P12757,544,500-1000
P12814,645,500-1000
P12821,168,100-500
P12872,332,100-500
P12931,454,100-500
P12955,4300,>1000
P13056,810,500-1000
P13232,168,100-500
P13378,382,100-500
P13473,680,500-1000
P13497,544,500-1000
P13569,1488,>1000
P13591,645,500-1000
P13611,645,500-1000
P13631,810,500-1000
P13637,454,100-500
P13646,12,<100
P13674,645,500-1000
P13688,168,100-500
P13797,1488,>1000
P13805,544,500-1000
P13928,987,500-1000
P13929,4300,>1000
P13942,645,500-1000
P14091,454,100-500
P14136,645,500-1000
P14138,645,500-1000
P14209,78,<100
P14210,645,500-1000
P14416,680,500-1000
P14618,4300,>1000
P14651,645,500-1000
P14678,1714,>1000
P14859,950,500-1000
P14921,645,500-1000
P15151,132,100-500
P15170,544,500-1000
P15309,424,100-500
P15336,1292,>1000
P15408,680,500-1000
P15428,987,500-1000
P15502,244,100-500
P15509,382,100-500
P15529,382,100-500
P15559,454,100-500
P15621,78,<100
P15622,168,100-500
P15692,645,500-1000
P15812,544,500-1000
P15822,645,500-1000
P15863,886,500-1000
P15882,1488,>1000
P15884,987,500-1000
P15923,987,500-1000
P15924,1488,>1000
P15927,645,500-1000
P15941,168,100-500
P15976,454,100-500
P16070,645,500-1000
P16112,645,500-1000
P16144,680,500-1000
P16157,987,500-1000
P16220,1292,>1000
P16234,645,500-1000
P16278,645,500-1000
P16284,544,500-1000
P16298,4300,>1000
P16383,1488,>1000
P16410,544,500-1000
P16452,382,100-500
P16471,645,500-1000
P16473,987,500-1000
P16519,810,500-1000
P16591,645,500-1000
P16615,4300,>1000
P16671,1064,>1000
P16871,332,100-500
P16989,382,100-500
P17010,544,500-1000
P17014,168,100-500
P17021,70,<100
P17039,78,<100
P17040,244,100-500
P17096,382,100-500
P17097,168,100-500
P17181,544,500-1000
P17342,987,500-1000
P17405,1064,>1000
P17542,645,500-1000
P17544,1292,>1000
P17676,680,500-1000
P17693,12,<100
P17706,987,500-1000
P17948,454,100-500
P18206,987,500-1000
P18507,645,500-1000
P18510,332,100-500
P18577,680,500-1000
P18583,987,500-1000
P18615,950,500-1000
P18621,78,<100
P18847,680,500-1000
P18858,4300,>1000
P19021,987,500-1000
P19224,3,<100
P19235,454,100-500
P19256,332,100-500
P19320,987,500-1000
P19367,1292,>1000
P19438,454,100-500
P19440,645,500-1000
P19544,645,500-1000
P19827,168,100-500
P19838,544,500-1000
P19878,680,500-1000
P20020,382,100-500
P20023,987,500-1000
P20138,544,500-1000
P20151,382,100-500
P20265,3,<100
P20273,544,500-1000
P20340,4300,>1000
P20366,544,500-1000
P20701,332,100-500
P20711,1064,>1000
P20718,544,500-1000
P20794,1064,>1000
P20807,886,500-1000
P20823,680,500-1000
P20839,645,500-1000
P20849,645,500-1000
P20916,544,500-1000
P20929,886,500-1000
P20936,1064,>1000
P20941,4300,>1000
P21127,1934,>1000
P21128,680,500-1000
P21145,950,500-1000
P21333,424,100-500
P21359,1488,>1000
P21439,645,500-1000
P21554,3,<100
P21583,544,500-1000
P21675,1488,>1000
P21709,382,100-500
P21754,645,500-1000
P21757,244,100-500
P21802,886,500-1000
P21817,680,500-1000
P21860,987,500-1000
P21980,454,100-500
P22001,680,500-1000
P22105,454,100-500
P22303,950,500-1000
P22304,886,500-1000
P22307,987,500-1000
P22557,4300,>1000
P22570,4300,>1000
P22607,544,500-1000
P22694,680,500-1000
P22736,810,500-1000
P23141,1064,>1000
P23142,645,500-1000
P23219,680,500-1000
P23229,987,500-1000
P23280,680,500-1000
P23416,886,500-1000
P23443,382,100-500
P23467,1292,>1000
P23468,645,500-1000
P23469,544,500-1000
P23471,645,500-1000
P23497,1488,>1000
P23560,645,500-1000
P23634,886,500-1000
P23743,987,500-1000
P23759,645,500-1000
P23760,544,500-1000
P23763,332,100-500
P23945,680,500-1000
P23975,645,500-1000
P24001,12,<100
P24046,544,500-1000
P24071,382,100-500
P24394,544,500-1000
P24468,454,100-500
P24530,645,500-1000
P24557,645,500-1000
P24666,1488,>1000
P24821,645,500-1000
P24864,4300,>1000
P25054,987,500-1000
P25101,645,500-1000
P25440,886,500-1000
P25445,645,500-1000
P25705,1292,>1000
P25791,680,500-1000
P26045,645,500-1000
P26232,810,500-1000
P26358,987,500-1000
P26378,4300,>1000
P26436,132,100-500
P26599,1064,>1000
P27361,454,100-500
P27448,1064,>1000
P27540,987,500-1000
P27815,680,500-1000
P27816,454,100-500
P27824,1488,>1000
P27986,987,500-1000
P28074,454,100-500
P28288,1064,>1000
P28290,645,500-1000
P28329,645,500-1000
P28331,1292,>1000
P28472,645,500-1000
P28698,382,100-500
P28715,3,<100
P28799,645,500-1000
P28908,987,500-1000
P29122,1488,>1000
P29218,680,500-1000
P29323,645,500-1000
P29350,645,500-1000
P29353,454,100-500
P29372,987,500-1000
P29374,987,500-1000
P29376,382,100-500
P29466,886,500-1000
P29474,382,100-500
P29475,645,500-1000
P29558,544,500-1000
P29590,544,500-1000
P29692,645,500-1000
P29728,332,100-500
P29972,645,500-1000
P30038,1714,>1000
P30044,645,500-1000
P30085,4300,>1000
P30154,4300,>1000
P30203,987,500-1000
P30281,1488,>1000
P30305,544,500-1000
P30307,544,500-1000
P30511,3,<100
P30622,987,500-1000
P30626,1488,>1000
P30793,1488,>1000
P30988,950,500-1000
P31040,987,500-1000
P31327,544,500-1000
P31483,645,500-1000
P31942,680,500-1000
P31948,4300,>1000
P31994,544,500-1000
P32004,645,500-1000
P32019,1714,>1000
P32121,987,500-1000
P32189,4300,>1000
P32239,680,500-1000
P32241,645,500-1000
P32297,886,500-1000
P32298,987,500-1000
P32322,1292,>1000
P32418,680,500-1000
P32856,4300,>1000
P32929,4300,>1000
P33076,544,500-1000
P33121,4300,>1000
P33241,645,500-1000
P33402,987,500-1000
P33527,1488,>1000
P33681,168,100-500
P33993,4300,>1000
P34810,382,100-500
P34896,810,500-1000
P34897,1292,>1000
P34913,680,500-1000
P34969,645,500-1000
P34998,544,500-1000
P35030,382,100-500
P35125,645,500-1000
P35221,810,500-1000
P35236,454,100-500
P35240,544,500-1000
P35241,645,500-1000
P35348,680,500-1000
P35372,645,500-1000
P35398,810,500-1000
P35498,382,100-500
P35557,1292,>1000
P35573,1488,>1000
P35580,645,500-1000
P35590,810,500-1000
P35610,645,500-1000
P35611,1064,>1000
P35612,1064,>1000
P35613,950,500-1000
P35658,332,100-500
P35670,4300,>1000
P35680,680,500-1000
P35711,1714,>1000
P35712,1714,>1000
P35749,645,500-1000
P35789,36,<100
P35813,4300,>1000
P35913,987,500-1000
P35914,1488,>1000
P35916,645,500-1000
P35968,645,500-1000
P36269,987,500-1000
P36402,544,500-1000
P36406,886,500-1000
P36543,4300,>1000
P36544,645,500-1000
P36639,1488,>1000
P36776,1488,>1000
P36871,886,500-1000
P36896,987,500-1000
P36897,680,500-1000
P36956,680,500-1000
P37088,454,100-500
P37173,987,500-1000
P37231,810,500-1000
P37268,645,500-1000
P37275,645,500-1000
P37287,1488,>1000
P37840,645,500-1000
P38159,18,<100
P38398,950,500-1000
P38405,1488,>1000
P39060,645,500-1000
P39656,1488,>1000
P39880,645,500-1000
P39905,645,500-1000
P40123,1714,>1000
P40189,544,500-1000
P40198,544,500-1000
P40225,332,100-500
P40259,332,100-500
P40305,55,<100
P40337,55,<100
P40424,950,500-1000
P40426,950,500-1000
P40692,4300,>1000
P40763,645,500-1000
P40925,1714,>1000
P40967,645,500-1000
P41217,680,500-1000
P41220,454,100-500
P41229,382,100-500
P41235,987,500-1000
P41440,987,500-1000
P41586,454,100-500
P41594,987,500-1000
P42081,382,100-500
P42226,454,100-500
P42261,886,500-1000
P42262,950,500-1000
P42331,987,500-1000
P42357,1488,>1000
P42575,886,500-1000
P42679,544,500-1000
P42684,886,500-1000
P42701,332,100-500
P42771,382,100-500
P42892,680,500-1000
P43004,645,500-1000
P43088,950,500-1000
P43115,950,500-1000
P43155,1292,>1000
P43250,680,500-1000
P43251,645,500-1000
P43268,987,500-1000
P43351,645,500-1000
P43403,544,500-1000
P43897,4300,>1000
P45378,645,500-1000
P45379,810,500-1000
P45844,4300,>1000
P45880,1488,>1000
P45983,1488,>1000
P45984,4300,>1000
P46020,987,500-1000
P46087,8,<100
P46098,645,500-1000
P46100,1714,>1000
P46379,3,<100
P46597,645,500-1000
P46734,645,500-1000
P46736,645,500-1000
P46779,645,500-1000
P46934,645,500-1000
P46937,544,500-1000
P46939,987,500-1000
P46976,544,500-1000
P47710,55,<100
P47736,645,500-1000
P47804,544,500-1000
P47870,544,500-1000
P48029,680,500-1000
P48048,645,500-1000
P48059,18,<100
P48061,454,100-500
P48067,645,500-1000
P48357,544,500-1000
P48380,1292,>1000
P48449,645,500-1000
P48454,454,100-500
P48546,382,100-500
P48551,332,100-500
P48634,950,500-1000
P48651,1714,>1000
P48728,4300,>1000
P48729,987,500-1000
P48739,645,500-1000
P48740,680,500-1000
P48751,987,500-1000
P48960,645,500-1000
P49023,886,500-1000
P49189,4300,>1000
P49238,454,100-500
P49281,1488,>1000
P49321,1488,>1000
P49326,244,100-500
P49354,4300,>1000
P49366,4300,>1000
P49419,1488,>1000
P49459,645,500-1000
P49589,4300,>1000
P49619,987,500-1000
P49639,645,500-1000
P49641,950,500-1000
P49662,886,500-1000
P49682,454,100-500
P49715,680,500-1000
P49748,1064,>1000
P49750,987,500-1000
P49754,1714,>1000
P49755,1714,>1000
P49756,987,500-1000
P49757,950,500-1000
P49758,645,500-1000
P49759,680,500-1000
P49760,4300,>1000
P49761,680,500-1000
P49763,454,100-500
P49768,544,500-1000
P49771,244,100-500
P49790,680,500-1000
P49796,810,500-1000
P49798,886,500-1000
P49802,645,500-1000
P49810,1488,>1000
P49815,1488,>1000
P49842,645,500-1000
P49848,1488,>1000
P49895,680,500-1000
P49903,1064,>1000
P49916,1488,>1000
P49959,4300,>1000
P49961,645,500-1000
P50135,544,500-1000
P50221,886,500-1000
P50440,680,500-1000
P50452,544,500-1000
P50539,987,500-1000
P50542,1714,>1000
P50549,645,500-1000
P50570,544,500-1000
P50579,987,500-1000
P50990,4300,>1000
P51114,987,500-1000
P51157,645,500-1000
P51172,424,100-500
P51398,1488,>1000
P51513,950,500-1000
P51530,4300,>1000
P51532,544,500-1000
P51606,987,500-1000
P51610,645,500-1000
P51617,1292,>1000
P51636,950,500-1000
P51654,950,500-1000
P51659,1064,>1000
P51674,810,500-1000
P51689,78,<100
P51788,645,500-1000
P51790,886,500-1000
P51797,1488,>1000
P51800,382,100-500
P51809,1488,>1000
P51814,168,100-500
P51816,645,500-1000
P51825,950,500-1000
P51854,132,100-500
P51857,4300,>1000
P51858,454,100-500
P51878,886,500-1000
P51955,987,500-1000
P51957,544,500-1000
P51965,1488,>1000
P52298,1714,>1000
P52306,645,500-1000
P52333,382,100-500
P52434,4300,>1000
P52569,4300,>1000
