base_accession,is_tf,fate,age_bin
A2RUB6,False,removed,500-1000
A2RUB6,False,removed,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUB6,False,conserved,500-1000
A2RUS2,False,conserved,500-1000
A2RUS2,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A2VDJ0,False,conserved,500-1000
A3KMH1,False,removed,>1000
A3KMH1,False,removed,>1000
A3KMH1,False,removed,>1000
A3KMH1,False,removed,>1000
A3KMH1,False,conserved,>1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A3KN83,False,conserved,500-1000
A4D161,False,removed,500-1000
A4D161,False,conserved,500-1000
A4D161,False,conserved,500-1000
A4D161,False,conserved,500-1000
A4D161,False,removed,500-1000
A4D161,False,conserved,500-1000
A4D161,False,conserved,500-1000
A4D161,False,conserved,500-1000
A4D1E9,False,conserved,500-1000
A4D1E9,False,conserved,500-1000
A4D1P6,False,conserved,>1000
A4D1P6,False,conserved,>1000
A4D1P6,False,conserved,>1000
A4D1P6,False,conserved,>1000
A4FU01,False,removed,100-500
A4FU01,False,conserved,100-500
A4FU49,False,added,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,added,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU49,False,conserved,>1000
A4FU69,False,conserved,>1000
A4FU69,False,conserved,>1000
A4FU69,False,conserved,>1000
A4FU69,False,conserved,>1000
A4FU69,False,conserved,>1000
A4FU69,False,removed,>1000
A4FU69,False,removed,>1000
A4FU69,False,added,>1000
A4FU69,False,added,>1000
A4FU69,False,conserved,>1000
A4FU69,False,conserved,>1000
A4UGR9,False,removed,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,removed,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,removed,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,removed,500-1000
A4UGR9,False,removed,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,added,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A4UGR9,False,conserved,500-1000
A5D8W1,False,removed,500-1000
A5D8W1,False,removed,500-1000
A5D8W1,False,conserved,500-1000
A5D8W1,False,conserved,500-1000
A5D8W1,False,conserved,500-1000
A5D8W1,False,conserved,500-1000
A5PL33,False,removed,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PL33,False,conserved,100-500
A5PLN7,False,removed,500-1000
A5PLN7,False,removed,500-1000
A5PLN7,False,removed,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5PLN7,False,conserved,500-1000
A5X5Y0,False,conserved,<100
A5X5Y0,False,conserved,<100
A5X5Y0,False,conserved,<100
A5X5Y0,False,removed,<100
A5X5Y0,False,conserved,<100
A5X5Y0,False,removed,<100
A5X5Y0,False,conserved,<100
A5X5Y0,False,removed,<100
A5X5Y0,False,conserved,<100
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YKK6,False,conserved,>1000
A5YM72,False,added,100-500
A5YM72,False,added,100-500
A5YM72,False,added,100-500
A5YM72,False,added,100-500
A6BM72,False,removed,500-1000
A6BM72,False,conserved,500-1000
A6BM72,False,conserved,500-1000
A6BM72,False,conserved,500-1000
A6BM72,False,conserved,500-1000
A6H8Z2,False,removed,500-1000
A6H8Z2,False,conserved,500-1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NCI4,False,removed,>1000
A6NDY0,False,conserved,100-500
A6NDY0,False,conserved,100-500
A6NDY0,False,conserved,100-500
A6NDY0,False,conserved,100-500
A6NFQ2,False,added,100-500
A6NFR6,False,added,
A6NFR6,False,conserved,
A6NI73,False,removed,100-500
A6NI73,False,conserved,100-500
A6NI73,False,conserved,100-500
A6NI73,False,conserved,100-500
A6NI73,False,conserved,100-500
A6NJ78,False,conserved,>1000
A6NJ78,False,added,>1000
A6NJ78,False,conserved,>1000
A6NJ78,False,conserved,>1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,removed,500-1000
A6NKB5,False,conserved,500-1000
A6NNP5,False,removed,100-500
A6NNP5,False,conserved,100-500
A6NNP5,False,removed,100-500
A6NNP5,False,conserved,100-500
A6NNP5,False,conserved,100-500
A6NNP5,False,conserved,100-500
A6NNP5,False,removed,100-500
A6NNP5,False,conserved,100-500
A6PVS8,False,removed,500-1000
A6PVS8,False,removed,500-1000
A6QL63,False,added,>1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7E2V4,False,conserved,500-1000
A7KAX9,False,removed,500-1000
A7KAX9,False,removed,500-1000
A7KAX9,False,removed,500-1000
A7KAX9,False,conserved,500-1000
A7KAX9,False,conserved,500-1000
A7KAX9,False,conserved,500-1000
A7KAX9,False,conserved,500-1000
A7KAX9,False,conserved,500-1000
A7KAX9,False,conserved,500-1000
A8K0R7,False,added,500-1000
A8K0R7,False,conserved,500-1000
A8K0R7,False,conserved,500-1000
A8K0R7,False,conserved,500-1000
A8K0R7,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,removed,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K8P3,False,conserved,500-1000
A8K979,False,removed,500-1000
A8K979,False,removed,500-1000
A8K979,False,conserved,500-1000
A8K979,False,conserved,500-1000
A8K979,False,conserved,500-1000
A8K979,False,removed,500-1000
A8K979,False,conserved,500-1000
A8K979,False,conserved,500-1000
A8MPX8,False,added,500-1000
A8MPX8,False,conserved,500-1000
A8MQ27,False,conserved,500-1000
A8MQ27,False,conserved,500-1000
A8MQ27,False,conserved,500-1000
A8MQ27,False,conserved,500-1000
A8MT70,False,added,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MT70,False,conserved,100-500
A8MTZ0,False,removed,<100
A8MTZ0,False,conserved,<100
A8MTZ0,False,added,<100
A8MTZ0,False,conserved,<100
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MVW5,False,conserved,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,removed,500-1000
A8MW92,False,conserved,500-1000
A8MW92,False,conserved,500-1000
A8MWY0,False,removed,500-1000
A8MWY0,False,conserved,500-1000
A8MWY0,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B2RTY4,False,conserved,500-1000
B4DS77,False,removed,100-500
B4DS77,False,removed,100-500
B4DS77,False,removed,100-500
B4DS77,False,removed,100-500
B4DS77,False,added,100-500
B4DS77,False,conserved,100-500
C9JH25,False,removed,100-500
C9JH25,False,conserved,100-500
C9JH25,False,conserved,100-500
C9JH25,False,conserved,100-500
M0R2J8,False,removed,500-1000
M0R2J8,False,removed,500-1000
M0R2J8,False,removed,500-1000
M0R2J8,False,conserved,500-1000
M0R2J8,False,conserved,500-1000
M0R2J8,False,removed,500-1000
M0R2J8,False,removed,500-1000
M0R2J8,False,removed,500-1000
M0R2J8,False,conserved,500-1000
M0R2J8,False,conserved,500-1000
O00141,False,removed,100-500
O00141,False,added,100-500
O00141,False,added,100-500
O00141,False,added,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00141,False,removed,100-500
O00141,False,added,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00141,False,removed,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00141,False,removed,100-500
O00141,False,added,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00141,False,conserved,100-500
O00142,False,removed,500-1000
O00142,False,added,500-1000
O00142,False,conserved,500-1000
O00142,False,conserved,500-1000
O00142,False,conserved,500-1000
O00142,False,conserved,500-1000
O00142,False,conserved,500-1000
O00142,False,removed,500-1000
O00142,False,removed,500-1000
O00148,False,conserved,>1000
O00148,False,conserved,>1000
O00154,False,removed,500-1000
O00154,False,removed,500-1000
O00154,False,removed,500-1000
O00154,False,removed,500-1000
O00154,False,added,500-1000
O00154,False,removed,500-1000
O00154,False,conserved,500-1000
O00154,False,removed,500-1000
O00154,False,added,500-1000
O00154,False,conserved,500-1000
O00154,False,removed,500-1000
O00154,False,conserved,500-1000
O00154,False,removed,500-1000
O00154,False,added,500-1000
O00154,False,conserved,500-1000
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,removed,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,removed,100-500
O00165,False,removed,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00165,False,conserved,100-500
O00167,False,conserved,500-1000
O00167,False,conserved,500-1000
O00167,False,conserved,500-1000
O00167,False,conserved,500-1000
O00167,False,conserved,500-1000
O00167,False,conserved,500-1000
O00167,False,conserved,500-1000
O00182,False,removed,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,removed,500-1000
O00182,False,removed,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,removed,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00182,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,removed,500-1000
O00213,False,added,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,removed,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,removed,500-1000
O00213,False,added,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,removed,500-1000
O00213,False,added,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00213,False,conserved,500-1000
O00222,False,removed,500-1000
O00222,False,removed,500-1000
O00233,False,added,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,removed,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00291,False,conserved,>1000
O00305,False,removed,500-1000
O00305,False,removed,500-1000
O00305,False,added,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,removed,500-1000
O00305,False,added,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00305,False,conserved,500-1000
O00308,False,conserved,100-500
O00308,False,conserved,100-500
O00308,False,conserved,100-500
O00308,False,conserved,100-500
O00308,False,removed,100-500
O00308,False,removed,100-500
O00308,False,removed,100-500
O00308,False,removed,100-500
O00308,False,removed,100-500
O00308,False,conserved,100-500
O00308,False,conserved,100-500
O00308,False,conserved,100-500
O00330,False,removed,500-1000
O00330,False,conserved,500-1000
O00339,False,conserved,500-1000
O00339,False,conserved,500-1000
O00339,False,conserved,500-1000
O00339,False,conserved,500-1000
O00339,False,conserved,500-1000
O00408,False,removed,500-1000
O00408,False,added,500-1000
O00408,False,conserved,500-1000
O00408,False,removed,500-1000
O00408,False,conserved,500-1000
O00408,False,removed,500-1000
O00408,False,added,500-1000
O00408,False,conserved,500-1000
O00408,False,conserved,500-1000
O00408,False,removed,500-1000
O00408,False,removed,500-1000
O00429,False,removed,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,removed,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,removed,500-1000
O00429,False,removed,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,removed,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00429,False,removed,500-1000
O00429,False,removed,500-1000
O00429,False,conserved,500-1000
O00429,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00444,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00451,False,conserved,500-1000
O00453,False,conserved,<100
O00469,False,conserved,500-1000
O00469,False,removed,500-1000
O00481,False,conserved,<100
O00481,False,added,<100
O00481,False,conserved,<100
O00481,False,conserved,<100
O00482,True,removed,500-1000
O00482,True,conserved,500-1000
O00482,True,removed,500-1000
O00482,True,removed,500-1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,added,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,added,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,added,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,removed,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00499,False,conserved,>1000
O00506,False,conserved,>1000
O00506,False,conserved,>1000
O00506,False,conserved,>1000
O00506,False,conserved,>1000
O00522,False,conserved,500-1000
